ticker,strategy,regime,trades,win_rate,total_pnl,avg_pnl,pf,max_dd,avg_holding,score
AA,S2,bull_mid_vol,35,65.71,90.09,2.574,3.5,14.57,6.1,20.705
AA,S2,bull_high_vol,13,38.46,-10.38,-0.798,0.781,29.04,5.4,2.814
AAL,S1,bear_mid_vol,3,66.67,8.15,2.717,2.701,4.79,7.0,4.679
AAL,S1,bull_low_vol,38,44.74,33.73,0.888,1.374,29.63,8.3,8.47
AAL,S1,bull_high_vol,11,36.36,-16.6,-1.509,0.522,26.2,6.9,1.732
AAL,S1,neutral_high_vol,6,0.0,-43.45,-7.242,0.0,37.3,6.0,0.0
AAL,S1,neutral_mid_vol,2,50.0,35.21,17.605,4.586,9.82,12.5,6.485
AAL,S1,neutral_low_vol,1,100.0,14.29,14.29,inf,0.0,15.0,inf
AAL,S1,bear_high_vol,7,42.86,-15.77,-2.253,0.397,17.2,8.4,1.051
AAL,S1,bull_mid_vol,18,33.33,-32.1,-1.783,0.504,39.07,6.5,2.14
AAL,S2,bear_mid_vol,6,33.33,-24.34,-4.057,0.272,30.61,8.3,0.666
AAL,S2,neutral_low_vol,2,0.0,-11.32,-5.66,0.0,11.22,7.0,0.0
AAL,S2,bull_low_vol,62,37.1,10.52,0.17,1.059,53.71,6.7,8.342
AAL,S2,bear_low_vol,2,100.0,5.28,2.64,inf,0.0,2.5,inf
AAL,S2,bear_high_vol,19,52.63,40.19,2.115,2.344,11.84,6.5,10.218
AAL,S2,neutral_mid_vol,7,100.0,35.36,5.051,inf,0.0,5.6,inf
AAL,S2,bull_mid_vol,25,60.0,-8.51,-0.34,0.899,41.49,7.4,4.495
AAL,S2,bull_high_vol,19,68.42,63.44,3.339,3.725,15.77,4.7,16.237
AAL,S2,neutral_high_vol,9,55.56,-64.0,-7.111,0.248,59.03,7.7,0.743
AAON,S1,bear_mid_vol,3,0.0,-10.94,-3.647,0.0,10.62,3.0,0.0
AAON,S1,bull_low_vol,53,30.19,-56.91,-1.074,0.485,48.97,5.9,3.528
AAON,S1,neutral_mid_vol,4,0.0,-13.87,-3.468,0.0,13.18,4.0,0.0
AAON,S1,neutral_low_vol,2,0.0,-2.34,-1.17,0.0,2.33,4.5,0.0
AAON,S1,bear_high_vol,8,62.5,37.1,4.637,3.18,16.13,10.8,8.994
AAON,S1,bull_mid_vol,26,26.92,-19.15,-0.737,0.659,22.47,8.5,3.362
AAON,S1,bull_high_vol,9,22.22,-16.51,-1.834,0.28,15.88,6.6,0.839
AAON,S1,neutral_high_vol,4,75.0,3.0,0.75,2.648,1.82,12.2,5.297
AAON,S2,bear_mid_vol,3,66.67,0.69,0.23,1.185,3.72,4.0,2.053
AAON,S2,bear_high_vol,22,59.09,61.89,2.813,3.36,10.13,4.2,15.762
AAON,S2,neutral_low_vol,1,100.0,8.48,8.48,inf,0.0,3.0,inf
AAON,S2,bull_low_vol,41,58.54,9.48,0.231,1.144,26.9,5.3,7.328
AAON,S2,bull_mid_vol,32,53.12,17.13,0.535,1.316,32.74,5.5,7.446
AAON,S2,bear_low_vol,1,0.0,-0.31,-0.31,0.0,0.31,10.0,0.0
AAON,S2,neutral_mid_vol,10,40.0,12.35,1.235,2.226,8.4,4.7,7.041
AAON,S2,bull_high_vol,14,71.43,4.3,0.307,1.172,23.32,8.5,4.385
AAON,S2,neutral_high_vol,3,33.33,2.2,0.733,1.221,9.8,8.7,2.114
AAPL,S1,bear_high_vol,11,54.55,33.09,3.008,3.077,7.98,12.4,10.206
AAPL,S1,bear_mid_vol,2,50.0,12.4,6.2,37.471,0.34,14.5,52.991
AAPL,S1,bull_low_vol,50,36.0,77.12,1.542,1.994,18.96,10.6,14.097
AAPL,S1,bull_high_vol,16,37.5,13.58,0.849,1.714,8.43,10.1,6.854
AAPL,S1,bear_low_vol,1,100.0,6.25,6.25,inf,0.0,17.0,inf
AAPL,S1,neutral_low_vol,2,50.0,0.11,0.055,1.029,3.77,6.0,1.455
AAPL,S1,bull_mid_vol,29,41.38,29.91,1.031,1.833,18.01,9.3,9.873
AAPL,S1,neutral_high_vol,5,0.0,-6.78,-1.356,0.0,6.63,7.8,0.0
AAPL,S1,neutral_mid_vol,3,100.0,8.39,2.797,inf,0.0,8.3,inf
AAPL,S2,bear_high_vol,22,31.82,-40.33,-1.833,0.411,37.09,4.2,1.926
AAPL,S2,bull_low_vol,40,52.5,25.57,0.639,1.452,20.0,6.3,9.182
AAPL,S2,bear_mid_vol,2,100.0,4.27,2.135,inf,0.0,8.0,inf
AAPL,S2,bull_mid_vol,21,61.9,10.09,0.48,1.319,18.92,6.0,6.043
AAPL,S2,neutral_high_vol,11,45.45,2.55,0.232,1.117,15.89,5.2,3.706
AAPL,S2,bull_high_vol,14,57.14,-8.54,-0.61,0.75,21.65,3.6,2.805
AAPL,S2,neutral_mid_vol,2,100.0,6.14,3.07,inf,0.0,7.5,inf
ABBV,S1,bull_low_vol,30,53.33,41.84,1.395,2.435,9.44,9.2,13.339
ABBV,S1,bull_mid_vol,17,47.06,29.92,1.76,2.035,9.58,12.7,8.389
ABBV,S1,bull_high_vol,11,54.55,15.37,1.397,2.482,7.46,12.5,8.232
ABBV,S1,neutral_high_vol,4,0.0,-18.34,-4.585,0.0,17.17,3.5,0.0
ABBV,S1,neutral_mid_vol,1,0.0,-0.74,-0.74,0.0,0.74,3.0,0.0
ABBV,S1,neutral_low_vol,1,0.0,-2.55,-2.55,0.0,2.55,7.0,0.0
ABBV,S1,bear_high_vol,7,42.86,1.41,0.201,1.149,4.6,9.4,3.04
ABBV,S2,bull_low_vol,20,65.0,19.24,0.962,1.884,10.24,6.3,8.426
ABBV,S2,bull_mid_vol,20,80.0,48.16,2.408,3.845,13.66,6.1,17.194
ABBV,S2,neutral_mid_vol,2,100.0,13.04,6.52,inf,0.0,4.5,inf
ABBV,S2,bull_high_vol,15,33.33,-5.53,-0.369,0.77,12.6,3.5,2.982
ABBV,S2,neutral_high_vol,7,28.57,-1.68,-0.24,0.9,8.61,6.7,2.381
ABBV,S2,bear_high_vol,13,84.62,45.15,3.473,9.239,4.98,5.4,33.312
ABBV,S2,bear_mid_vol,2,50.0,-0.24,-0.12,0.793,1.16,14.0,1.122
ABT,S1,bull_low_vol,50,30.0,-10.06,-0.201,0.817,19.75,8.4,5.779
ABT,S1,neutral_mid_vol,3,66.67,-0.12,-0.04,0.922,1.54,10.0,1.597
ABT,S1,neutral_low_vol,2,50.0,-1.15,-0.575,0.41,1.95,5.0,0.58
ABT,S1,bear_high_vol,5,40.0,6.36,1.272,1.738,4.33,9.4,3.886
ABT,S1,bear_mid_vol,2,50.0,-2.43,-1.215,0.1,2.7,5.5,0.141
ABT,S1,bull_mid_vol,19,52.63,16.44,0.865,1.979,11.3,9.8,8.627
ABT,S1,bull_high_vol,13,53.85,12.0,0.923,2.471,3.81,10.8,8.908
ABT,S1,neutral_high_vol,2,50.0,-0.01,-0.005,0.967,0.3,20.5,1.367
ABT,S2,bear_high_vol,17,64.71,13.01,0.765,1.463,13.47,6.1,6.033
ABT,S2,bear_mid_vol,2,50.0,0.98,0.49,1.278,3.53,6.5,1.807
ABT,S2,bull_low_vol,51,49.02,-0.41,-0.008,0.992,16.47,6.3,7.086
ABT,S2,neutral_mid_vol,5,40.0,0.1,0.02,1.018,5.44,7.2,2.277
ABT,S2,neutral_high_vol,6,33.33,14.71,2.452,2.568,6.62,4.8,6.291
ABT,S2,bull_mid_vol,31,45.16,4.66,0.15,1.13,12.69,4.6,6.293
ABT,S2,bull_high_vol,10,70.0,4.34,0.434,1.391,7.17,6.8,4.398
ACGL,S1,bear_high_vol,7,71.43,21.08,3.011,7.934,2.69,14.0,20.992
ACGL,S1,bull_low_vol,45,42.22,27.48,0.611,1.915,6.12,8.1,12.845
ACGL,S1,bull_high_vol,15,26.67,-3.83,-0.255,0.839,15.14,7.8,3.25
ACGL,S1,bear_low_vol,1,0.0,-1.37,-1.37,0.0,1.37,3.0,0.0
ACGL,S1,neutral_low_vol,2,50.0,5.4,2.7,7.75,0.8,18.0,10.96
ACGL,S1,bull_mid_vol,22,45.45,0.2,0.009,1.01,8.12,9.8,4.739
ACGL,S1,neutral_high_vol,4,25.0,-8.96,-2.24,0.361,13.21,6.2,0.722
ACGL,S1,neutral_mid_vol,1,0.0,-2.05,-2.05,0.0,2.05,2.0,0.0
ACGL,S1,bear_mid_vol,1,0.0,-0.56,-0.56,0.0,0.56,10.0,0.0
ACGL,S2,bear_high_vol,14,64.29,19.29,1.378,2.695,8.09,5.7,10.084
ACGL,S2,bull_low_vol,50,42.0,-2.04,-0.041,0.957,26.43,5.3,6.768
ACGL,S2,neutral_low_vol,3,66.67,2.16,0.72,2.895,1.14,2.7,5.014
ACGL,S2,bull_mid_vol,17,64.71,24.01,1.412,2.918,5.57,4.1,12.03
ACGL,S2,neutral_mid_vol,2,0.0,-2.78,-1.39,0.0,2.77,7.5,0.0
ACGL,S2,neutral_high_vol,6,33.33,-6.64,-1.107,0.642,13.08,5.5,1.573
ACGL,S2,bull_high_vol,8,62.5,10.96,1.37,2.162,8.21,5.0,6.116
ACGL,S2,bear_mid_vol,1,100.0,1.72,1.72,inf,0.0,2.0,inf
ACHC,S1,bull_low_vol,40,35.0,-10.01,-0.25,0.888,34.48,7.0,5.617
ACHC,S1,bear_mid_vol,2,50.0,16.7,8.35,22.688,0.77,12.5,32.086
ACHC,S1,bull_mid_vol,15,20.0,17.69,1.179,1.554,20.33,7.6,6.018
ACHC,S1,bull_high_vol,10,50.0,20.79,2.079,3.262,5.56,10.6,10.316
ACHC,S1,bear_high_vol,5,20.0,-8.3,-1.66,0.346,8.28,5.4,0.775
ACHC,S1,neutral_high_vol,6,16.67,-29.7,-4.95,0.157,27.03,7.5,0.385
ACHC,S1,neutral_low_vol,1,100.0,3.99,3.99,inf,0.0,11.0,inf
ACHC,S1,neutral_mid_vol,1,0.0,-3.1,-3.1,0.0,3.1,3.0,0.0
ACHC,S2,bear_high_vol,13,61.54,17.06,1.312,2.101,11.07,8.4,7.574
ACHC,S2,bull_low_vol,39,43.59,-57.67,-1.479,0.623,70.68,7.3,3.893
ACHC,S2,neutral_high_vol,12,41.67,6.52,0.543,1.173,23.48,7.3,4.062
ACHC,S2,bull_mid_vol,28,53.57,35.72,1.276,1.991,18.09,5.1,10.535
ACHC,S2,bull_high_vol,6,100.0,30.57,5.095,inf,0.0,7.3,inf
ACHC,S2,neutral_mid_vol,2,50.0,-2.81,-1.405,0.23,3.65,12.5,0.325
ACM,S1,bear_high_vol,10,50.0,24.45,2.445,2.011,18.04,14.0,6.359
ACM,S1,bear_mid_vol,2,0.0,-7.22,-3.61,0.0,7.09,6.5,0.0
ACM,S1,bull_low_vol,34,47.06,27.52,0.809,1.644,20.09,8.8,9.586
ACM,S1,neutral_mid_vol,5,20.0,-2.22,-0.444,0.791,5.85,6.2,1.768
ACM,S1,neutral_low_vol,2,100.0,6.08,3.04,inf,0.0,14.0,inf
ACM,S1,bull_mid_vol,18,27.78,0.54,0.03,1.024,13.67,9.5,4.345
ACM,S1,bull_high_vol,12,58.33,7.93,0.661,1.621,7.76,8.7,5.614
ACM,S1,neutral_high_vol,2,50.0,3.48,1.74,6.898,0.59,8.5,9.756
ACM,S2,bear_high_vol,13,53.85,10.65,0.819,1.406,13.67,7.2,5.071
ACM,S2,bull_low_vol,53,54.72,26.02,0.491,1.446,13.19,6.0,10.525
ACM,S2,neutral_mid_vol,8,37.5,-9.02,-1.127,0.559,12.59,7.2,1.582
ACM,S2,bull_high_vol,19,47.37,19.26,1.014,2.17,10.3,3.5,9.459
ACM,S2,neutral_high_vol,7,71.43,13.03,1.861,4.948,3.29,7.0,13.092
ACM,S2,bear_low_vol,1,0.0,-2.1,-2.1,0.0,2.1,2.0,0.0
ACM,S2,bear_mid_vol,2,100.0,7.12,3.56,inf,0.0,7.0,inf
ACM,S2,neutral_low_vol,1,0.0,-2.07,-2.07,0.0,2.07,4.0,0.0
ACM,S2,bull_mid_vol,37,56.76,27.52,0.744,1.445,23.19,6.1,8.792
ACN,S1,bear_high_vol,11,54.55,1.76,0.16,1.066,12.6,12.1,3.536
ACN,S1,bear_mid_vol,1,0.0,-2.88,-2.88,0.0,2.88,5.0,0.0
ACN,S1,neutral_low_vol,4,50.0,12.02,3.005,4.172,2.4,12.0,8.343
ACN,S1,bull_low_vol,53,41.51,14.13,0.267,1.269,16.25,10.2,9.239
ACN,S1,bull_mid_vol,22,50.0,16.56,0.753,1.856,12.46,10.5,8.705
ACN,S1,bull_high_vol,10,60.0,8.59,0.859,1.576,7.3,13.6,4.984
ACN,S1,neutral_mid_vol,1,0.0,-1.06,-1.06,0.0,1.06,5.0,0.0
ACN,S1,neutral_high_vol,2,50.0,-2.91,-1.455,0.157,3.45,8.0,0.221
ACN,S2,bear_high_vol,22,54.55,3.64,0.165,1.089,18.79,5.1,5.106
ACN,S2,bear_mid_vol,5,60.0,4.87,0.974,1.834,4.55,5.6,4.101
ACN,S2,bull_low_vol,33,54.55,-3.66,-0.111,0.938,26.72,6.8,5.386
ACN,S2,bull_mid_vol,18,72.22,22.48,1.249,2.315,10.78,4.6,9.823
ACN,S2,neutral_mid_vol,8,50.0,16.26,2.032,4.332,2.15,4.9,12.253
ACN,S2,bull_high_vol,9,66.67,7.41,0.823,2.079,2.5,3.9,6.236
ACN,S2,neutral_high_vol,15,40.0,-7.42,-0.495,0.769,15.3,4.7,2.978
ACN,S2,neutral_low_vol,1,100.0,3.92,3.92,inf,0.0,5.0,inf
ADBE,S1,bear_high_vol,14,14.29,-30.56,-2.183,0.199,32.04,6.0,0.743
ADBE,S1,bear_mid_vol,4,50.0,-0.72,-0.18,0.895,4.42,5.2,1.79
ADBE,S1,bull_low_vol,49,34.69,12.29,0.251,1.194,19.18,9.5,8.358
ADBE,S1,bear_low_vol,1,0.0,-18.37,-18.37,0.0,18.37,9.0,0.0
ADBE,S1,neutral_mid_vol,4,75.0,9.33,2.333,8.177,1.3,12.8,16.354
ADBE,S1,bull_mid_vol,21,47.62,9.59,0.457,1.252,19.44,10.1,5.737
ADBE,S1,bull_high_vol,8,62.5,9.45,1.181,2.944,3.38,12.4,8.328
ADBE,S1,neutral_high_vol,5,40.0,1.08,0.216,1.236,3.72,6.8,2.763
ADBE,S2,bear_high_vol,21,61.9,-2.68,-0.128,0.951,31.85,4.9,4.36
ADBE,S2,neutral_low_vol,4,75.0,8.04,2.01,5.702,1.71,4.0,11.404
ADBE,S2,bull_low_vol,39,58.97,29.98,0.769,1.455,19.86,6.9,9.087
ADBE,S2,bull_high_vol,12,58.33,8.39,0.699,1.407,11.56,7.1,4.874
ADBE,S2,neutral_high_vol,10,40.0,-4.16,-0.416,0.836,20.31,5.5,2.644
ADBE,S2,bear_mid_vol,1,100.0,4.68,4.68,inf,0.0,12.0,inf
ADBE,S2,bear_low_vol,1,100.0,4.35,4.35,inf,0.0,3.0,inf
ADBE,S2,neutral_mid_vol,6,33.33,-10.04,-1.673,0.595,16.21,7.0,1.457
ADBE,S2,bull_mid_vol,21,61.9,15.92,0.758,1.548,15.77,8.5,7.094
ADC,S1,bear_high_vol,11,72.73,1.96,0.178,1.12,13.47,9.7,3.714
ADC,S1,bull_low_vol,41,36.59,0.33,0.008,1.006,25.25,8.2,6.438
ADC,S1,neutral_low_vol,3,33.33,-0.25,-0.083,0.839,1.55,5.7,1.453
ADC,S1,bull_mid_vol,22,40.91,-7.92,-0.36,0.669,12.01,8.6,3.14
ADC,S1,neutral_mid_vol,5,20.0,0.1,0.02,1.018,5.6,6.8,2.275
ADC,S1,bull_high_vol,11,36.36,-3.71,-0.337,0.768,10.22,7.3,2.548
ADC,S1,neutral_high_vol,7,14.29,-15.71,-2.244,0.029,14.76,2.4,0.077
ADC,S1,bear_mid_vol,2,0.0,-2.06,-1.03,0.0,2.05,9.0,0.0
ADC,S2,bear_high_vol,8,37.5,17.22,2.153,2.161,7.61,6.0,6.113
ADC,S2,bull_low_vol,63,47.62,-10.03,-0.159,0.884,35.32,5.8,7.019
ADC,S2,bear_mid_vol,1,100.0,6.26,6.26,inf,0.0,4.0,inf
ADC,S2,neutral_high_vol,6,66.67,31.8,5.3,9.595,2.47,5.0,23.502
ADC,S2,bull_mid_vol,23,60.87,21.27,0.925,3.448,3.61,4.2,16.534
ADC,S2,bull_high_vol,6,50.0,7.77,1.295,6.396,1.12,5.0,15.667
ADC,S2,neutral_mid_vol,2,50.0,-0.54,-0.27,0.915,6.39,8.0,1.295
ADI,S1,bear_mid_vol,3,33.33,-2.38,-0.793,0.633,6.4,5.3,1.097
ADI,S1,bull_low_vol,43,32.56,-12.44,-0.289,0.749,21.56,8.0,4.912
ADI,S1,neutral_mid_vol,4,25.0,-2.52,-0.63,0.227,2.55,4.2,0.454
ADI,S1,neutral_low_vol,2,100.0,3.58,1.79,inf,0.0,12.5,inf
ADI,S1,bear_high_vol,9,55.56,14.95,1.661,1.943,8.79,12.0,5.828
ADI,S1,bull_mid_vol,20,55.0,16.03,0.802,1.62,11.51,9.7,7.243
ADI,S1,bull_high_vol,11,45.45,20.85,1.895,2.671,11.86,10.5,8.858
ADI,S1,neutral_high_vol,3,33.33,-9.68,-3.227,0.055,9.49,5.3,0.095
ADI,S2,bear_high_vol,16,50.0,12.53,0.783,1.657,16.19,5.0,6.627
ADI,S2,bear_mid_vol,5,80.0,26.86,5.372,73.595,0.37,4.2,164.563
ADI,S2,bull_low_vol,44,59.09,21.61,0.491,1.346,12.07,6.1,8.928
ADI,S2,bull_mid_vol,24,83.33,56.16,2.34,5.139,10.46,6.2,25.174
ADI,S2,neutral_mid_vol,3,66.67,8.67,2.89,4.836,2.26,6.3,8.377
ADI,S2,bull_high_vol,13,53.85,-4.62,-0.355,0.814,17.24,4.5,2.934
ADI,S2,neutral_high_vol,10,30.0,-18.27,-1.827,0.554,31.03,4.7,1.752
ADM,S1,bear_mid_vol,1,0.0,-0.85,-0.85,0.0,0.85,10.0,0.0
ADM,S1,bull_low_vol,41,46.34,17.67,0.431,1.386,18.63,8.9,8.875
ADM,S1,bull_high_vol,12,41.67,1.29,0.107,1.114,7.86,9.5,3.858
ADM,S1,neutral_mid_vol,3,0.0,-7.89,-2.63,0.0,7.69,8.3,0.0
ADM,S1,bear_low_vol,1,100.0,1.95,1.95,inf,0.0,14.0,inf
ADM,S1,bear_high_vol,7,42.86,-2.93,-0.419,0.72,9.59,9.3,1.906
ADM,S1,neutral_low_vol,2,0.0,-4.93,-2.465,0.0,4.91,6.5,0.0
ADM,S1,bull_mid_vol,17,52.94,4.84,0.285,1.335,7.19,8.7,5.504
ADM,S1,neutral_high_vol,3,100.0,5.52,1.84,inf,0.0,11.7,inf
ADM,S2,bear_high_vol,17,58.82,31.77,1.869,2.648,5.64,5.5,10.917
ADM,S2,bear_mid_vol,5,0.0,-18.06,-3.612,0.0,17.03,7.8,0.0
ADM,S2,neutral_low_vol,1,100.0,2.53,2.53,inf,0.0,12.0,inf
ADM,S2,bull_low_vol,37,56.76,2.92,0.079,1.055,24.41,7.2,6.418
ADM,S2,bull_high_vol,13,53.85,5.65,0.435,1.454,8.05,4.1,5.243
ADM,S2,neutral_high_vol,12,58.33,4.43,0.369,1.176,15.54,5.6,4.072
ADM,S2,bull_mid_vol,27,59.26,5.41,0.2,1.131,22.21,7.3,5.879
ADM,S2,neutral_mid_vol,6,66.67,2.89,0.482,1.344,7.95,5.7,3.291
ADP,S1,bear_high_vol,12,58.33,12.67,1.056,2.104,7.87,11.8,7.287
ADP,S1,bear_mid_vol,2,50.0,1.0,0.5,2.205,0.83,15.5,3.118
ADP,S1,bull_low_vol,48,47.92,29.84,0.622,1.832,8.96,9.5,12.693
ADP,S1,bull_high_vol,13,61.54,20.32,1.563,3.393,3.51,11.1,12.235
ADP,S1,neutral_low_vol,2,100.0,6.31,3.155,inf,0.0,16.5,inf
ADP,S1,bull_mid_vol,18,27.78,-19.53,-1.085,0.422,19.2,6.6,1.792
ADP,S1,neutral_mid_vol,2,50.0,2.81,1.405,22.615,0.13,11.0,31.983
ADP,S1,neutral_high_vol,2,50.0,3.06,1.53,4.03,1.01,10.0,5.699
ADP,S2,bear_high_vol,15,53.33,28.8,1.92,5.543,4.56,5.0,21.466
ADP,S2,bear_mid_vol,6,50.0,2.98,0.497,1.716,2.38,4.3,4.204
ADP,S2,neutral_low_vol,3,66.67,2.07,0.69,1.904,2.29,5.3,3.298
ADP,S2,bull_low_vol,39,53.85,15.55,0.399,1.519,14.66,5.8,9.488
ADP,S2,bull_mid_vol,15,60.0,11.59,0.773,3.012,3.96,4.5,11.666
ADP,S2,neutral_mid_vol,6,50.0,6.07,1.012,2.739,3.23,8.8,6.71
ADP,S2,bull_high_vol,8,87.5,14.44,1.805,2.33,10.86,9.6,6.589
ADP,S2,neutral_high_vol,8,37.5,-4.05,-0.506,0.836,17.78,4.0,2.365
ADSK,S1,bear_high_vol,7,100.0,72.32,10.331,inf,0.0,20.9,inf
ADSK,S1,bear_mid_vol,3,0.0,-11.42,-3.807,0.0,11.07,5.0,0.0
ADSK,S1,bull_low_vol,52,42.31,21.74,0.418,1.265,32.11,9.2,9.125
ADSK,S1,neutral_mid_vol,5,80.0,15.05,3.01,8.488,2.01,12.0,18.979
ADSK,S1,bull_mid_vol,24,20.83,-20.09,-0.837,0.72,31.89,9.4,3.525
ADSK,S1,bull_high_vol,7,71.43,15.69,2.241,10.626,1.63,10.9,28.113
ADSK,S1,neutral_high_vol,2,50.0,7.87,3.935,3.168,3.63,9.0,4.48
ADSK,S2,bear_high_vol,19,47.37,23.11,1.216,1.538,12.85,6.2,6.706
ADSK,S2,neutral_low_vol,2,50.0,0.69,0.345,1.338,2.04,11.0,1.893
ADSK,S2,bull_low_vol,47,44.68,-22.36,-0.476,0.8,34.14,6.4,5.482
ADSK,S2,neutral_mid_vol,5,40.0,1.11,0.222,1.101,8.63,6.2,2.462
ADSK,S2,neutral_high_vol,10,60.0,6.42,0.642,1.251,14.7,5.9,3.957
ADSK,S2,bear_mid_vol,6,66.67,15.5,2.583,6.201,2.0,4.0,15.19
ADSK,S2,bull_mid_vol,24,79.17,79.22,3.301,13.495,4.91,5.5,66.113
ADSK,S2,bull_high_vol,13,69.23,5.17,0.398,1.176,24.7,6.4,4.241
AEE,S1,bear_mid_vol,4,25.0,-8.93,-2.233,0.04,9.04,6.2,0.08
AEE,S1,neutral_low_vol,2,50.0,-3.46,-1.73,0.139,4.02,4.0,0.197
AEE,S1,bull_low_vol,42,33.33,13.81,0.329,1.38,11.98,8.1,8.944
AEE,S1,bull_high_vol,14,21.43,-1.86,-0.133,0.886,4.87,6.6,3.314
AEE,S1,neutral_mid_vol,5,0.0,-5.71,-1.142,0.0,5.61,4.0,0.0
AEE,S1,bear_high_vol,12,25.0,-7.74,-0.645,0.538,7.92,8.0,1.863
AEE,S1,bull_mid_vol,27,37.04,-19.93,-0.738,0.399,20.37,6.1,2.074
AEE,S1,neutral_high_vol,3,33.33,1.95,0.65,1.543,3.56,10.0,2.673
AEE,S2,bear_high_vol,11,63.64,3.06,0.278,1.124,10.55,8.5,3.728
AEE,S2,bear_mid_vol,3,66.67,6.99,2.33,6.777,1.21,4.0,11.738
AEE,S2,neutral_low_vol,4,25.0,-4.99,-1.248,0.247,6.51,4.8,0.495
AEE,S2,bull_low_vol,34,58.82,22.1,0.65,1.759,7.15,8.5,10.256
AEE,S2,neutral_high_vol,8,62.5,19.96,2.495,2.22,11.87,3.4,6.279
AEE,S2,bull_mid_vol,19,84.21,28.14,1.481,7.026,3.36,5.7,30.624
AEE,S2,bull_high_vol,9,33.33,-2.82,-0.313,0.661,4.89,4.3,1.982
AEP,S1,bear_mid_vol,3,66.67,2.47,0.823,2.314,1.88,12.3,4.008
AEP,S1,bull_low_vol,47,40.43,24.99,0.532,1.636,7.7,8.7,11.218
AEP,S1,bull_high_vol,14,42.86,7.4,0.529,1.509,8.69,9.6,5.645
AEP,S1,neutral_mid_vol,4,0.0,-4.34,-1.085,0.0,4.29,4.2,0.0
AEP,S1,bear_high_vol,13,30.77,-5.8,-0.446,0.625,10.46,8.0,2.253
AEP,S1,bull_mid_vol,21,47.62,3.27,0.156,1.201,9.3,7.4,5.504
AEP,S1,neutral_high_vol,5,60.0,0.84,0.168,1.168,4.96,9.0,2.612
AEP,S2,bear_mid_vol,1,0.0,-3.61,-3.61,0.0,3.61,5.0,0.0
AEP,S2,bear_high_vol,10,80.0,18.22,1.822,2.511,10.34,6.9,7.94
AEP,S2,bull_low_vol,43,67.44,20.5,0.477,1.523,11.93,6.8,9.988
AEP,S2,neutral_high_vol,7,85.71,31.39,4.484,12.669,2.69,4.9,33.519
AEP,S2,neutral_low_vol,1,100.0,2.42,2.42,inf,0.0,11.0,inf
AEP,S2,bull_mid_vol,27,66.67,26.22,0.971,2.183,7.22,5.8,11.342
AEP,S2,bull_high_vol,6,50.0,7.68,1.28,2.379,2.86,7.5,5.827
